,bus,p_nom,type,control,weather_cell_id,subtype,voltage_level,id,subst_id,la_id,geom,mvlv_subst_id,geom_em,p
Generator_mvgd_1056_lvgd_97221_solar_roof_mounted_750253,Bus_mvgd_1056_lvgd_97221_gen_750253,0.17628,solar,PQ,1131085.0,solar_roof_mounted,lv,750253.0,,,,,,
Generator_mvgd_1056_lvgd_97221_solar_roof_mounted_752974,BranchTee_mvgd_1056_lvgd_97221_2,0.00765,solar,PQ,1131085.0,solar_roof_mounted,lv,752974.0,,,,,,
Generator_mvgd_1056_lvgd_97239_solar_roof_mounted_750117,BranchTee_mvgd_1056_lvgd_97239_50,0.0126,solar,PQ,1131085.0,solar_roof_mounted,lv,750117.0,,,,,,
Generator_mvgd_1056_lvgd_97239_solar_roof_mounted_752207,BranchTee_mvgd_1056_lvgd_97239_10,0.00954,solar,PQ,1131085.0,solar_roof_mounted,lv,752207.0,,,,,,
Generator_mvgd_1056_lvgd_97239_solar_roof_mounted_752513,BranchTee_mvgd_1056_lvgd_97239_34,0.015,solar,PQ,1131085.0,solar_roof_mounted,lv,752513.0,,,,,,
Generator_mvgd_1056_lvgd_97253_solar_roof_mounted_750052,BranchTee_mvgd_1056_lvgd_97253_14,0.01116,solar,PQ,1131085.0,solar_roof_mounted,lv,750052.0,,,,,,
Generator_mvgd_1056_lvgd_97253_solar_roof_mounted_750067,BranchTee_mvgd_1056_lvgd_97253_2,0.02588,solar,PQ,1131085.0,solar_roof_mounted,lv,750067.0,,,,,,
Generator_mvgd_1056_lvgd_97253_solar_roof_mounted_750071,BranchTee_mvgd_1056_lvgd_97253_10,0.00897,solar,PQ,1131085.0,solar_roof_mounted,lv,750071.0,,,,,,
Generator_mvgd_1056_lvgd_97253_solar_roof_mounted_750172,BranchTee_mvgd_1056_lvgd_97253_12,0.009,solar,PQ,1131085.0,solar_roof_mounted,lv,750172.0,,,,,,
Generator_mvgd_1056_lvgd_97253_solar_roof_mounted_752962,BranchTee_mvgd_1056_lvgd_97253_6,0.00774,solar,PQ,1131085.0,solar_roof_mounted,lv,752962.0,,,,,,
Generator_mvgd_1056_lvgd_97254_solar_roof_mounted_750040,BranchTee_mvgd_1056_lvgd_97254_2,0.01368,solar,PQ,1130085.0,solar_roof_mounted,lv,750040.0,,,,,,
Generator_mvgd_1056_lvgd_97254_solar_roof_mounted_752144,BranchTee_mvgd_1056_lvgd_97254_34,0.00385,solar,PQ,1130085.0,solar_roof_mounted,lv,752144.0,,,,,,
Generator_mvgd_1056_lvgd_97254_solar_roof_mounted_752485,BranchTee_mvgd_1056_lvgd_97254_46,0.0277,solar,PQ,1130085.0,solar_roof_mounted,lv,752485.0,,,,,,
Generator_mvgd_1056_lvgd_97254_solar_roof_mounted_1582178,BranchTee_mvgd_1056_lvgd_97254_14,0.0039,solar,PQ,1130085.0,solar_roof_mounted,lv,1582178.0,,,,,,
Generator_mvgd_1056_lvgd_97254_solar_roof_mounted_1594047,BranchTee_mvgd_1056_lvgd_97254_30,0.0078,solar,PQ,1130085.0,solar_roof_mounted,lv,1594047.0,,,,,,
