,bus,p_nom,type,control,weather_cell_id,subtype,voltage_level,id,subst_id,la_id,geom,mvlv_subst_id,geom_em,p
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_557796,BusBar_mvgd_1056_lvgd_98550_LV,0.01541,solar,PQ,1131085.0,solar_roof_mounted,lv,557796.0,,,,,,
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_749988,BusBar_mvgd_1056_lvgd_98550_LV,0.00644,solar,PQ,1131085.0,solar_roof_mounted,lv,749988.0,,,,,,
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_750001,BusBar_mvgd_1056_lvgd_98550_LV,0.0063,solar,PQ,1131085.0,solar_roof_mounted,lv,750001.0,,,,,,
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_750004,BusBar_mvgd_1056_lvgd_98550_LV,0.00495,solar,PQ,1131085.0,solar_roof_mounted,lv,750004.0,,,,,,
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_750235,BusBar_mvgd_1056_lvgd_98550_LV,0.0072,solar,PQ,1131085.0,solar_roof_mounted,lv,750235.0,,,,,,
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_750248,BranchTee_mvgd_1056_lvgd_98550_2,0.09984,solar,PQ,1131085.0,solar_roof_mounted,lv,750248.0,,,,,,
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_752157,BusBar_mvgd_1056_lvgd_98550_LV,0.0153,solar,PQ,1131085.0,solar_roof_mounted,lv,752157.0,,,,,,
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_752170,BusBar_mvgd_1056_lvgd_98550_LV,0.0284899999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,752170.0,,,,,,
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_752428,BusBar_mvgd_1056_lvgd_98550_LV,0.0057599999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,752428.0,,,,,,
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_752473,BusBar_mvgd_1056_lvgd_98550_LV,0.02244,solar,PQ,1131085.0,solar_roof_mounted,lv,752473.0,,,,,,
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_752526,BusBar_mvgd_1056_lvgd_98550_LV,0.0099499999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,752526.0,,,,,,
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_752991,BusBar_mvgd_1056_lvgd_98550_LV,0.02925,solar,PQ,1131085.0,solar_roof_mounted,lv,752991.0,,,,,,
Generator_mvgd_1056_lvgd_98550_solar_roof_mounted_1571449,BusBar_mvgd_1056_lvgd_98550_LV,0.009945,solar,PQ,1131085.0,solar_roof_mounted,lv,1571449.0,,,,,,
Generator_mvgd_1056_lvgd_98712_solar_roof_mounted_557789,BranchTee_mvgd_1056_lvgd_98712_74,0.00276,solar,PQ,1130085.0,solar_roof_mounted,lv,557789.0,,,,,,
Generator_mvgd_1056_lvgd_98712_solar_roof_mounted_749940,BranchTee_mvgd_1056_lvgd_98712_42,0.00512,solar,PQ,1130085.0,solar_roof_mounted,lv,749940.0,,,,,,
Generator_mvgd_1056_lvgd_98712_solar_roof_mounted_750050,BranchTee_mvgd_1056_lvgd_98712_14,0.00594,solar,PQ,1130085.0,solar_roof_mounted,lv,750050.0,,,,,,
Generator_mvgd_1056_lvgd_98712_solar_roof_mounted_750267,BranchTee_mvgd_1056_lvgd_98712_52,0.008405,solar,PQ,1130085.0,solar_roof_mounted,lv,750267.0,,,,,,
Generator_mvgd_1056_lvgd_98712_solar_roof_mounted_752509,BranchTee_mvgd_1056_lvgd_98712_70,0.00658,solar,PQ,1130085.0,solar_roof_mounted,lv,752509.0,,,,,,
Generator_mvgd_1056_lvgd_98712_solar_roof_mounted_752511,BranchTee_mvgd_1056_lvgd_98712_92,0.01504,solar,PQ,1130085.0,solar_roof_mounted,lv,752511.0,,,,,,
Generator_mvgd_1056_lvgd_98712_solar_roof_mounted_752975,BranchTee_mvgd_1056_lvgd_98712_94,0.00748,solar,PQ,1130085.0,solar_roof_mounted,lv,752975.0,,,,,,
Generator_mvgd_1056_lvgd_98712_solar_roof_mounted_752989,BranchTee_mvgd_1056_lvgd_98712_4,0.01656,solar,PQ,1130085.0,solar_roof_mounted,lv,752989.0,,,,,,
Generator_mvgd_1056_lvgd_98713_solar_roof_mounted_749907,BranchTee_mvgd_1056_lvgd_98713_16,0.00085,solar,PQ,1130085.0,solar_roof_mounted,lv,749907.0,,,,,,
Generator_mvgd_1056_lvgd_98713_solar_roof_mounted_750223,BranchTee_mvgd_1056_lvgd_98713_46,0.00833,solar,PQ,1130085.0,solar_roof_mounted,lv,750223.0,,,,,,
Generator_mvgd_1056_lvgd_440776_solar_roof_mounted_750139,BranchTee_mvgd_1056_lvgd_440776_6,0.0072,solar,PQ,1131085.0,solar_roof_mounted,lv,750139.0,,,,,,
Generator_mvgd_1056_lvgd_440776_solar_roof_mounted_752500,BranchTee_mvgd_1056_lvgd_440776_4,0.00756,solar,PQ,1131085.0,solar_roof_mounted,lv,752500.0,,,,,,
Generator_mvgd_1056_lvgd_439483_solar_roof_mounted_750110,BranchTee_mvgd_1056_lvgd_439483_14,0.0055,solar,PQ,1130085.0,solar_roof_mounted,lv,750110.0,,,,,,
Generator_mvgd_1056_lvgd_439483_solar_roof_mounted_750148,BranchTee_mvgd_1056_lvgd_439483_2,0.01125,solar,PQ,1130085.0,solar_roof_mounted,lv,750148.0,,,,,,
Generator_mvgd_1056_lvgd_439483_solar_roof_mounted_752249,BranchTee_mvgd_1056_lvgd_439483_10,0.02982,solar,PQ,1130085.0,solar_roof_mounted,lv,752249.0,,,,,,
Generator_mvgd_1056_lvgd_439483_solar_roof_mounted_752538,BranchTee_mvgd_1056_lvgd_439483_12,0.0085,solar,PQ,1130085.0,solar_roof_mounted,lv,752538.0,,,,,,
Generator_mvgd_1056_lvgd_439544_hydro_753017,BranchTee_mvgd_1056_lvgd_439544_2,0.0575148177379467,run_of_river,PQ,,hydro,lv,753017.0,,,,,,
Generator_mvgd_1056_lvgd_440905_solar_roof_mounted_750037,BusBar_mvgd_1056_lvgd_440905_LV,0.0047599999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,750037.0,,,,,,
Generator_mvgd_1056_lvgd_440905_solar_roof_mounted_753027,BusBar_mvgd_1056_lvgd_440905_LV,0.00907,solar,PQ,1131085.0,solar_roof_mounted,lv,753027.0,,,,,,
Generator_mvgd_1056_lvgd_439676_solar_roof_mounted_750183,BranchTee_mvgd_1056_lvgd_439676_2,0.03008,solar,PQ,1131085.0,solar_roof_mounted,lv,750183.0,,,,,,
Generator_mvgd_1056_lvgd_439676_solar_roof_mounted_750309,BranchTee_mvgd_1056_lvgd_439676_4,0.0121999999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,750309.0,,,,,,
Generator_mvgd_1056_lvgd_439054_solar_roof_mounted_750308,BranchTee_mvgd_1056_lvgd_439054_6,0.00966,solar,PQ,1130085.0,solar_roof_mounted,lv,750308.0,,,,,,
Generator_mvgd_1056_lvgd_504532_solar_roof_mounted_749944,BranchTee_mvgd_1056_lvgd_504532_12,0.01283,solar,PQ,1131085.0,solar_roof_mounted,lv,749944.0,,,,,,
Generator_mvgd_1056_lvgd_504532_solar_roof_mounted_750068,BranchTee_mvgd_1056_lvgd_504532_24,0.00252,solar,PQ,1131085.0,solar_roof_mounted,lv,750068.0,,,,,,
Generator_mvgd_1056_lvgd_504532_solar_roof_mounted_752158,BranchTee_mvgd_1056_lvgd_504532_14,0.00172,solar,PQ,1131085.0,solar_roof_mounted,lv,752158.0,,,,,,
Generator_mvgd_1056_lvgd_504532_solar_roof_mounted_752215,BranchTee_mvgd_1056_lvgd_504532_2,0.02926,solar,PQ,1131085.0,solar_roof_mounted,lv,752215.0,,,,,,
Generator_mvgd_1056_lvgd_504532_solar_roof_mounted_752510,BranchTee_mvgd_1056_lvgd_504532_4,0.01572,solar,PQ,1131085.0,solar_roof_mounted,lv,752510.0,,,,,,
Generator_mvgd_1056_lvgd_504532_solar_roof_mounted_752990,BranchTee_mvgd_1056_lvgd_504532_10,0.01907,solar,PQ,1131085.0,solar_roof_mounted,lv,752990.0,,,,,,
Generator_mvgd_1056_lvgd_98951_solar_roof_mounted_749926,BranchTee_mvgd_1056_lvgd_98951_76,0.01092,solar,PQ,1131085.0,solar_roof_mounted,lv,749926.0,,,,,,
Generator_mvgd_1056_lvgd_98951_solar_roof_mounted_750197,BranchTee_mvgd_1056_lvgd_98951_60,0.00799,solar,PQ,1131085.0,solar_roof_mounted,lv,750197.0,,,,,,
Generator_mvgd_1056_lvgd_98951_solar_roof_mounted_750206,BranchTee_mvgd_1056_lvgd_98951_2,0.014805,solar,PQ,1131085.0,solar_roof_mounted,lv,750206.0,,,,,,
Generator_mvgd_1056_lvgd_98951_solar_roof_mounted_752226,BranchTee_mvgd_1056_lvgd_98951_14,0.01,solar,PQ,1131085.0,solar_roof_mounted,lv,752226.0,,,,,,
Generator_mvgd_1056_lvgd_98951_solar_roof_mounted_752986,BranchTee_mvgd_1056_lvgd_98951_38,0.01104,solar,PQ,1131085.0,solar_roof_mounted,lv,752986.0,,,,,,
Generator_mvgd_1056_lvgd_98952_solar_roof_mounted_749974,BranchTee_mvgd_1056_lvgd_98952_38,0.00323,solar,PQ,1131085.0,solar_roof_mounted,lv,749974.0,,,,,,
Generator_mvgd_1056_lvgd_98952_solar_roof_mounted_750007,BranchTee_mvgd_1056_lvgd_98952_80,0.0182,solar,PQ,1131085.0,solar_roof_mounted,lv,750007.0,,,,,,
Generator_mvgd_1056_lvgd_98952_solar_roof_mounted_750314,BranchTee_mvgd_1056_lvgd_98952_102,0.01,solar,PQ,1131085.0,solar_roof_mounted,lv,750314.0,,,,,,
Generator_mvgd_1056_lvgd_98952_solar_roof_mounted_752151,BranchTee_mvgd_1056_lvgd_98952_68,0.0096,solar,PQ,1131085.0,solar_roof_mounted,lv,752151.0,,,,,,
Generator_mvgd_1056_lvgd_98952_solar_roof_mounted_752168,BranchTee_mvgd_1056_lvgd_98952_60,0.00504,solar,PQ,1131085.0,solar_roof_mounted,lv,752168.0,,,,,,
Generator_mvgd_1056_lvgd_98952_solar_roof_mounted_752515,BranchTee_mvgd_1056_lvgd_98952_70,0.00658,solar,PQ,1131085.0,solar_roof_mounted,lv,752515.0,,,,,,
Generator_mvgd_1056_lvgd_98952_solar_roof_mounted_752546,BranchTee_mvgd_1056_lvgd_98952_16,0.017,solar,PQ,1131085.0,solar_roof_mounted,lv,752546.0,,,,,,
Generator_mvgd_1056_lvgd_98952_solar_roof_mounted_752951,BranchTee_mvgd_1056_lvgd_98952_98,0.0021,solar,PQ,1131085.0,solar_roof_mounted,lv,752951.0,,,,,,
Generator_mvgd_1056_lvgd_99001_solar_roof_mounted_749948,BranchTee_mvgd_1056_lvgd_99001_16,0.00546,solar,PQ,1130085.0,solar_roof_mounted,lv,749948.0,,,,,,
Generator_mvgd_1056_lvgd_99001_solar_roof_mounted_750259,BranchTee_mvgd_1056_lvgd_99001_50,0.006,solar,PQ,1130085.0,solar_roof_mounted,lv,750259.0,,,,,,
Generator_mvgd_1056_lvgd_99001_solar_roof_mounted_750280,BranchTee_mvgd_1056_lvgd_99001_14,0.0095,solar,PQ,1130085.0,solar_roof_mounted,lv,750280.0,,,,,,
Generator_mvgd_1056_lvgd_99001_solar_roof_mounted_752201,BranchTee_mvgd_1056_lvgd_99001_2,0.06512,solar,PQ,1130085.0,solar_roof_mounted,lv,752201.0,,,,,,
Generator_mvgd_1056_lvgd_99002_solar_roof_mounted_749908,BranchTee_mvgd_1056_lvgd_99002_34,0.00085,solar,PQ,1130085.0,solar_roof_mounted,lv,749908.0,,,,,,
Generator_mvgd_1056_lvgd_99002_solar_roof_mounted_749921,BranchTee_mvgd_1056_lvgd_99002_46,0.0108,solar,PQ,1130085.0,solar_roof_mounted,lv,749921.0,,,,,,
Generator_mvgd_1056_lvgd_99002_solar_roof_mounted_750096,BranchTee_mvgd_1056_lvgd_99002_10,0.01104,solar,PQ,1130085.0,solar_roof_mounted,lv,750096.0,,,,,,
Generator_mvgd_1056_lvgd_99002_solar_roof_mounted_750222,BranchTee_mvgd_1056_lvgd_99002_44,0.01944,solar,PQ,1130085.0,solar_roof_mounted,lv,750222.0,,,,,,
Generator_mvgd_1056_lvgd_99002_solar_roof_mounted_750241,BranchTee_mvgd_1056_lvgd_99002_30,0.02989,solar,PQ,1130085.0,solar_roof_mounted,lv,750241.0,,,,,,
Generator_mvgd_1056_lvgd_99002_solar_roof_mounted_752248,BranchTee_mvgd_1056_lvgd_99002_22,0.02982,solar,PQ,1130085.0,solar_roof_mounted,lv,752248.0,,,,,,
Generator_mvgd_1056_lvgd_99021_solar_roof_mounted_749902,BranchTee_mvgd_1056_lvgd_99021_10,0.002,solar,PQ,1131085.0,solar_roof_mounted,lv,749902.0,,,,,,
Generator_mvgd_1056_lvgd_99021_solar_roof_mounted_752439,BranchTee_mvgd_1056_lvgd_99021_24,0.00663,solar,PQ,1131085.0,solar_roof_mounted,lv,752439.0,,,,,,
Generator_mvgd_1056_lvgd_99021_solar_roof_mounted_752455,BranchTee_mvgd_1056_lvgd_99021_14,0.0233999999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,752455.0,,,,,,
Generator_mvgd_1056_lvgd_440092_solar_roof_mounted_750227,BranchTee_mvgd_1056_lvgd_440092_2,0.02914,solar,PQ,1131085.0,solar_roof_mounted,lv,750227.0,,,,,,
Generator_mvgd_1056_lvgd_99143_solar_roof_mounted_749998,BranchTee_mvgd_1056_lvgd_99143_50,0.01734,solar,PQ,1131085.0,solar_roof_mounted,lv,749998.0,,,,,,
Generator_mvgd_1056_lvgd_99143_solar_roof_mounted_750190,BusBar_mvgd_1056_lvgd_99143_LV,0.07252,solar,PQ,1131085.0,solar_roof_mounted,lv,750190.0,,,,,,
Generator_mvgd_1056_lvgd_99143_solar_roof_mounted_750304,BranchTee_mvgd_1056_lvgd_99143_10,0.0099499999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,750304.0,,,,,,
Generator_mvgd_1056_lvgd_99143_solar_roof_mounted_752425,BranchTee_mvgd_1056_lvgd_99143_34,0.0069299999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,752425.0,,,,,,
Generator_mvgd_1056_lvgd_99143_solar_roof_mounted_752445,BranchTee_mvgd_1056_lvgd_99143_22,0.0054,solar,PQ,1131085.0,solar_roof_mounted,lv,752445.0,,,,,,
Generator_mvgd_1056_lvgd_99143_solar_roof_mounted_752957,BranchTee_mvgd_1056_lvgd_99143_20,0.024,solar,PQ,1131085.0,solar_roof_mounted,lv,752957.0,,,,,,
Generator_mvgd_1056_lvgd_99144_solar_roof_mounted_749979,BranchTee_mvgd_1056_lvgd_99144_24,0.01485,solar,PQ,1131085.0,solar_roof_mounted,lv,749979.0,,,,,,
Generator_mvgd_1056_lvgd_99144_solar_roof_mounted_752149,BranchTee_mvgd_1056_lvgd_99144_14,0.00726,solar,PQ,1131085.0,solar_roof_mounted,lv,752149.0,,,,,,
Generator_mvgd_1056_lvgd_99144_solar_roof_mounted_752155,BranchTee_mvgd_1056_lvgd_99144_2,0.01188,solar,PQ,1131085.0,solar_roof_mounted,lv,752155.0,,,,,,
Generator_mvgd_1056_lvgd_99144_solar_roof_mounted_752476,BranchTee_mvgd_1056_lvgd_99144_26,0.02093,solar,PQ,1131085.0,solar_roof_mounted,lv,752476.0,,,,,,
Generator_mvgd_1056_lvgd_99144_solar_roof_mounted_753030,BranchTee_mvgd_1056_lvgd_99144_8,0.00391,solar,PQ,1131085.0,solar_roof_mounted,lv,753030.0,,,,,,
Generator_mvgd_1056_lvgd_99144_solar_roof_mounted_1565588,BranchTee_mvgd_1056_lvgd_99144_10,0.01,solar,PQ,1131085.0,solar_roof_mounted,lv,1565588.0,,,,,,
Generator_mvgd_1056_lvgd_440892_solar_roof_mounted_749951,BranchTee_mvgd_1056_lvgd_440892_12,0.00352,solar,PQ,1131085.0,solar_roof_mounted,lv,749951.0,,,,,,
Generator_mvgd_1056_lvgd_440892_solar_roof_mounted_750230,BranchTee_mvgd_1056_lvgd_440892_26,0.00658,solar,PQ,1131085.0,solar_roof_mounted,lv,750230.0,,,,,,
Generator_mvgd_1056_lvgd_440892_solar_roof_mounted_750246,BranchTee_mvgd_1056_lvgd_440892_14,0.00955,solar,PQ,1131085.0,solar_roof_mounted,lv,750246.0,,,,,,
Generator_mvgd_1056_lvgd_440892_solar_roof_mounted_752193,BranchTee_mvgd_1056_lvgd_440892_20,0.01188,solar,PQ,1131085.0,solar_roof_mounted,lv,752193.0,,,,,,
Generator_mvgd_1056_lvgd_440892_solar_roof_mounted_753044,BranchTee_mvgd_1056_lvgd_440892_4,0.00819,solar,PQ,1131085.0,solar_roof_mounted,lv,753044.0,,,,,,
Generator_mvgd_1056_lvgd_99159_solar_roof_mounted_749968,BranchTee_mvgd_1056_lvgd_99159_16,0.0161,solar,PQ,1130085.0,solar_roof_mounted,lv,749968.0,,,,,,
Generator_mvgd_1056_lvgd_99159_solar_roof_mounted_749994,BranchTee_mvgd_1056_lvgd_99159_32,0.01001,solar,PQ,1130085.0,solar_roof_mounted,lv,749994.0,,,,,,
Generator_mvgd_1056_lvgd_99159_solar_roof_mounted_750163,BranchTee_mvgd_1056_lvgd_99159_14,0.00975,solar,PQ,1130085.0,solar_roof_mounted,lv,750163.0,,,,,,
Generator_mvgd_1056_lvgd_99159_solar_roof_mounted_750288,Bus_mvgd_1056_lvgd_99159_gen_750288,0.14948,solar,PQ,1130085.0,solar_roof_mounted,lv,750288.0,,,,,,
Generator_mvgd_1056_lvgd_99159_solar_roof_mounted_752240,BranchTee_mvgd_1056_lvgd_99159_22,0.0203999999999999,solar,PQ,1130085.0,solar_roof_mounted,lv,752240.0,,,,,,
Generator_mvgd_1056_lvgd_99159_hydro_752949,BusBar_mvgd_1056_lvgd_99159_LV,0.1395580136288413,run_of_river,PQ,,hydro,lv,752949.0,,,,,,
Generator_mvgd_1056_lvgd_99159_solar_roof_mounted_752981,BusBar_mvgd_1056_lvgd_99159_LV,0.0426,solar,PQ,1130085.0,solar_roof_mounted,lv,752981.0,,,,,,
Generator_mvgd_1056_lvgd_99159_solar_roof_mounted_753038,BusBar_mvgd_1056_lvgd_99159_LV,0.05232,solar,PQ,1130085.0,solar_roof_mounted,lv,753038.0,,,,,,
Generator_mvgd_1056_lvgd_440136_solar_roof_mounted_750018,BranchTee_mvgd_1056_lvgd_440136_6,0.0212,solar,PQ,1131085.0,solar_roof_mounted,lv,750018.0,,,,,,
Generator_mvgd_1056_lvgd_440136_biogas_from_grid_750265,BranchTee_mvgd_1056_lvgd_440136_6,0.0220338143213243,biomass,PQ,,biogas_from_grid,lv,750265.0,,,,,,
Generator_mvgd_1056_lvgd_440136_solar_roof_mounted_752468,BranchTee_mvgd_1056_lvgd_440136_6,0.0116999999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,752468.0,,,,,,
Generator_mvgd_1056_lvgd_440502_solar_roof_mounted_749930,BranchTee_mvgd_1056_lvgd_440502_4,0.00735,solar,PQ,1131085.0,solar_roof_mounted,lv,749930.0,,,,,,
Generator_mvgd_1056_lvgd_440502_solar_roof_mounted_752224,BranchTee_mvgd_1056_lvgd_440502_2,0.01295,solar,PQ,1131085.0,solar_roof_mounted,lv,752224.0,,,,,,
Generator_mvgd_1056_lvgd_440502_solar_roof_mounted_752421,BranchTee_mvgd_1056_lvgd_440502_2,0.006496,solar,PQ,1131085.0,solar_roof_mounted,lv,752421.0,,,,,,
Generator_mvgd_1056_lvgd_99296_solar_roof_mounted_750174,BranchTee_mvgd_1056_lvgd_99296_10,0.00456,solar,PQ,1131085.0,solar_roof_mounted,lv,750174.0,,,,,,
Generator_mvgd_1056_lvgd_99296_solar_roof_mounted_752185,BranchTee_mvgd_1056_lvgd_99296_24,0.02112,solar,PQ,1131085.0,solar_roof_mounted,lv,752185.0,,,,,,
Generator_mvgd_1056_lvgd_99296_solar_roof_mounted_752194,BranchTee_mvgd_1056_lvgd_99296_14,0.00828,solar,PQ,1131085.0,solar_roof_mounted,lv,752194.0,,,,,,
Generator_mvgd_1056_lvgd_487647_solar_roof_mounted_750023,BranchTee_mvgd_1056_lvgd_487647_4,0.0042,solar,PQ,1131085.0,solar_roof_mounted,lv,750023.0,,,,,,
Generator_mvgd_1056_lvgd_487647_solar_roof_mounted_750138,BranchTee_mvgd_1056_lvgd_487647_4,0.0045,solar,PQ,1131085.0,solar_roof_mounted,lv,750138.0,,,,,,
Generator_mvgd_1056_lvgd_487647_solar_roof_mounted_750295,Bus_mvgd_1056_lvgd_487647_gen_750295,0.297585,solar,PQ,1131085.0,solar_roof_mounted,lv,750295.0,,,,,,
Generator_mvgd_1056_lvgd_487647_solar_roof_mounted_752171,BranchTee_mvgd_1056_lvgd_487647_4,0.01664,solar,PQ,1131085.0,solar_roof_mounted,lv,752171.0,,,,,,
Generator_mvgd_1056_lvgd_487647_solar_roof_mounted_752446,BranchTee_mvgd_1056_lvgd_487647_4,0.00595,solar,PQ,1131085.0,solar_roof_mounted,lv,752446.0,,,,,,
Generator_mvgd_1056_lvgd_487647_solar_roof_mounted_753050,BranchTee_mvgd_1056_lvgd_487647_4,0.007605,solar,PQ,1131085.0,solar_roof_mounted,lv,753050.0,,,,,,
Generator_mvgd_1056_lvgd_99308_solar_roof_mounted_750210,BusBar_mvgd_1056_lvgd_99308_LV,0.09901,solar,PQ,1131085.0,solar_roof_mounted,lv,750210.0,,,,,,
Generator_mvgd_1056_lvgd_99308_solar_roof_mounted_752210,BranchTee_mvgd_1056_lvgd_99308_10,0.00846,solar,PQ,1131085.0,solar_roof_mounted,lv,752210.0,,,,,,
Generator_mvgd_1056_lvgd_99309_solar_roof_mounted_750078,BusBar_mvgd_1056_lvgd_99309_LV,0.0464,solar,PQ,1131085.0,solar_roof_mounted,lv,750078.0,,,,,,
Generator_mvgd_1056_lvgd_99309_solar_roof_mounted_750283,BranchTee_mvgd_1056_lvgd_99309_14,0.00975,solar,PQ,1131085.0,solar_roof_mounted,lv,750283.0,,,,,,
Generator_mvgd_1056_lvgd_99309_solar_roof_mounted_752229,BranchTee_mvgd_1056_lvgd_99309_46,0.01692,solar,PQ,1131085.0,solar_roof_mounted,lv,752229.0,,,,,,
Generator_mvgd_1056_lvgd_99309_solar_roof_mounted_752489,BranchTee_mvgd_1056_lvgd_99309_2,0.0297,solar,PQ,1131085.0,solar_roof_mounted,lv,752489.0,,,,,,
Generator_mvgd_1056_lvgd_99309_solar_roof_mounted_752518,BranchTee_mvgd_1056_lvgd_99309_34,0.02976,solar,PQ,1131085.0,solar_roof_mounted,lv,752518.0,,,,,,
Generator_mvgd_1056_lvgd_99309_solar_roof_mounted_752520,BranchTee_mvgd_1056_lvgd_99309_12,0.01221,solar,PQ,1131085.0,solar_roof_mounted,lv,752520.0,,,,,,
Generator_mvgd_1056_lvgd_99309_solar_roof_mounted_752540,BranchTee_mvgd_1056_lvgd_99309_56,0.00925,solar,PQ,1131085.0,solar_roof_mounted,lv,752540.0,,,,,,
Generator_mvgd_1056_lvgd_99309_solar_roof_mounted_752998,BranchTee_mvgd_1056_lvgd_99309_22,0.00936,solar,PQ,1131085.0,solar_roof_mounted,lv,752998.0,,,,,,
Generator_mvgd_1056_lvgd_99310_solar_roof_mounted_749933,BranchTee_mvgd_1056_lvgd_99310_12,0.0028799999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,749933.0,,,,,,
Generator_mvgd_1056_lvgd_99310_solar_roof_mounted_750054,BranchTee_mvgd_1056_lvgd_99310_32,0.0181799999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,750054.0,,,,,,
Generator_mvgd_1056_lvgd_99310_solar_roof_mounted_750057,BranchTee_mvgd_1056_lvgd_99310_14,0.009,solar,PQ,1131085.0,solar_roof_mounted,lv,750057.0,,,,,,
Generator_mvgd_1056_lvgd_99310_solar_roof_mounted_752186,BranchTee_mvgd_1056_lvgd_99310_22,0.00981,solar,PQ,1131085.0,solar_roof_mounted,lv,752186.0,,,,,,
Generator_mvgd_1056_lvgd_99310_solar_roof_mounted_753026,BranchTee_mvgd_1056_lvgd_99310_2,0.0151799999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,753026.0,,,,,,
Generator_mvgd_1056_lvgd_102175_solar_roof_mounted_750088,BusBar_mvgd_1056_lvgd_102175_LV,0.01443,solar,PQ,1131085.0,solar_roof_mounted,lv,750088.0,,,,,,
Generator_mvgd_1056_lvgd_102175_solar_roof_mounted_752958,BusBar_mvgd_1056_lvgd_102175_LV,0.00248,solar,PQ,1131085.0,solar_roof_mounted,lv,752958.0,,,,,,
Generator_mvgd_1056_lvgd_102175_solar_roof_mounted_753010,BusBar_mvgd_1056_lvgd_102175_LV,0.006525,solar,PQ,1131085.0,solar_roof_mounted,lv,753010.0,,,,,,
Generator_mvgd_1056_lvgd_102176_solar_roof_mounted_749919,BranchTee_mvgd_1056_lvgd_102176_34,0.03,solar,PQ,1131085.0,solar_roof_mounted,lv,749919.0,,,,,,
Generator_mvgd_1056_lvgd_102176_solar_roof_mounted_749961,BranchTee_mvgd_1056_lvgd_102176_12,0.01426,solar,PQ,1131085.0,solar_roof_mounted,lv,749961.0,,,,,,
Generator_mvgd_1056_lvgd_102176_solar_roof_mounted_750122,BranchTee_mvgd_1056_lvgd_102176_32,0.00928,solar,PQ,1131085.0,solar_roof_mounted,lv,750122.0,,,,,,
Generator_mvgd_1056_lvgd_102176_solar_roof_mounted_752169,BranchTee_mvgd_1056_lvgd_102176_24,0.01808,solar,PQ,1131085.0,solar_roof_mounted,lv,752169.0,,,,,,
Generator_mvgd_1056_lvgd_102176_solar_roof_mounted_752263,BranchTee_mvgd_1056_lvgd_102176_14,0.01,solar,PQ,1131085.0,solar_roof_mounted,lv,752263.0,,,,,,
Generator_mvgd_1056_lvgd_102176_solar_roof_mounted_752530,BranchTee_mvgd_1056_lvgd_102176_8,0.01813,solar,PQ,1131085.0,solar_roof_mounted,lv,752530.0,,,,,,
Generator_mvgd_1056_lvgd_102177_solar_roof_mounted_749925,BranchTee_mvgd_1056_lvgd_102177_90,0.00832,solar,PQ,1131085.0,solar_roof_mounted,lv,749925.0,,,,,,
Generator_mvgd_1056_lvgd_102177_solar_roof_mounted_749932,BranchTee_mvgd_1056_lvgd_102177_168,0.00558,solar,PQ,1131085.0,solar_roof_mounted,lv,749932.0,,,,,,
Generator_mvgd_1056_lvgd_102177_solar_roof_mounted_750073,BranchTee_mvgd_1056_lvgd_102177_28,0.00598,solar,PQ,1131085.0,solar_roof_mounted,lv,750073.0,,,,,,
Generator_mvgd_1056_lvgd_102177_solar_roof_mounted_750087,BranchTee_mvgd_1056_lvgd_102177_108,0.01196,solar,PQ,1131085.0,solar_roof_mounted,lv,750087.0,,,,,,
Generator_mvgd_1056_lvgd_102177_solar_roof_mounted_750133,BranchTee_mvgd_1056_lvgd_102177_38,0.029845,solar,PQ,1131085.0,solar_roof_mounted,lv,750133.0,,,,,,
Generator_mvgd_1056_lvgd_102177_solar_roof_mounted_750287,BranchTee_mvgd_1056_lvgd_102177_2,0.00688,solar,PQ,1131085.0,solar_roof_mounted,lv,750287.0,,,,,,
Generator_mvgd_1056_lvgd_102177_solar_roof_mounted_750303,BranchTee_mvgd_1056_lvgd_102177_12,0.00713,solar,PQ,1131085.0,solar_roof_mounted,lv,750303.0,,,,,,
Generator_mvgd_1056_lvgd_102177_solar_roof_mounted_752460,BranchTee_mvgd_1056_lvgd_102177_66,0.0103699999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,752460.0,,,,,,
