,bus,control,p_nom,max_hours,voltage_level
StorageUnit_LVGrid_97333_1,BranchTee_mvgd_1056_lvgd_97333_18,PQ,0.01086,1,lv
StorageUnit_LVGrid_97333_2,BranchTee_mvgd_1056_lvgd_97333_24,PQ,0.00612,1,lv
StorageUnit_LVGrid_97333_3,BranchTee_mvgd_1056_lvgd_97333_12,PQ,0.01581,1,lv
StorageUnit_LVGrid_97333_4,BranchTee_mvgd_1056_lvgd_97333_2,PQ,0.009675,1,lv
StorageUnit_LVGrid_97333_5,BranchTee_mvgd_1056_lvgd_97333_14,PQ,0.00636,1,lv
StorageUnit_LVGrid_97333_6,BranchTee_mvgd_1056_lvgd_97333_6,PQ,0.02312,1,lv
StorageUnit_LVGrid_97334_1,BranchTee_mvgd_1056_lvgd_97334_16,PQ,0.0056,1,lv
StorageUnit_LVGrid_97334_2,BranchTee_mvgd_1056_lvgd_97334_32,PQ,0.01638,1,lv
StorageUnit_LVGrid_97334_3,BranchTee_mvgd_1056_lvgd_97334_14,PQ,0.01034,1,lv
StorageUnit_LVGrid_97340_1,BranchTee_mvgd_1056_lvgd_97340_14,PQ,0.0062699999999999,1,lv
StorageUnit_LVGrid_97340_2,BranchTee_mvgd_1056_lvgd_97340_30,PQ,0.01075,1,lv
StorageUnit_LVGrid_97340_3,BranchTee_mvgd_1056_lvgd_97340_2,PQ,0.012685,1,lv
StorageUnit_LVGrid_97340_4,BranchTee_mvgd_1056_lvgd_97340_34,PQ,0.00496,1,lv
StorageUnit_LVGrid_97340_5,BranchTee_mvgd_1056_lvgd_97340_46,PQ,0.0099,1,lv
StorageUnit_LVGrid_97341_1,BranchTee_mvgd_1056_lvgd_97341_10,PQ,0.0084,1,lv
StorageUnit_LVGrid_97341_2,BranchTee_mvgd_1056_lvgd_97341_32,PQ,0.00517,1,lv
StorageUnit_LVGrid_97341_3,BranchTee_mvgd_1056_lvgd_97341_28,PQ,0.0094,1,lv
StorageUnit_LVGrid_97341_4,BranchTee_mvgd_1056_lvgd_97341_22,PQ,0.02736,1,lv
StorageUnit_LVGrid_97341_5,BranchTee_mvgd_1056_lvgd_97341_2,PQ,0.0099,1,lv
StorageUnit_LVGrid_97341_6,BranchTee_mvgd_1056_lvgd_97341_14,PQ,0.00864,1,lv
StorageUnit_LVGrid_97341_7,BranchTee_mvgd_1056_lvgd_97341_34,PQ,0.00891,1,lv
StorageUnit_LVGrid_97341_8,BranchTee_mvgd_1056_lvgd_97341_24,PQ,0.0069299999999999,1,lv
StorageUnit_LVGrid_97341_9,BranchTee_mvgd_1056_lvgd_97341_18,PQ,0.0081,1,lv
StorageUnit_LVGrid_440493_1,BranchTee_mvgd_1056_lvgd_440493_4,PQ,0.0132,1,lv
StorageUnit_LVGrid_440493_2,BranchTee_mvgd_1056_lvgd_440493_70,PQ,0.014835,1,lv
StorageUnit_LVGrid_440493_3,BranchTee_mvgd_1056_lvgd_440493_40,PQ,0.00533,1,lv
StorageUnit_LVGrid_440493_4,BranchTee_mvgd_1056_lvgd_440493_50,PQ,0.00154,1,lv
StorageUnit_LVGrid_440493_5,BranchTee_mvgd_1056_lvgd_440493_60,PQ,0.00775,1,lv
StorageUnit_LVGrid_440493_6,BranchTee_mvgd_1056_lvgd_440493_62,PQ,0.009945,1,lv
StorageUnit_LVGrid_440493_7,BranchTee_mvgd_1056_lvgd_440493_2,PQ,0.01092,1,lv
StorageUnit_LVGrid_440493_8,BranchTee_mvgd_1056_lvgd_440493_28,PQ,0.02181,1,lv
StorageUnit_LVGrid_440493_9,BranchTee_mvgd_1056_lvgd_440493_72,PQ,0.01872,1,lv
StorageUnit_LVGrid_440493_10,BranchTee_mvgd_1056_lvgd_440493_58,PQ,0.0108,1,lv
StorageUnit_LVGrid_440493_11,BranchTee_mvgd_1056_lvgd_440493_76,PQ,0.00648,1,lv
StorageUnit_LVGrid_440493_12,BranchTee_mvgd_1056_lvgd_440493_14,PQ,0.0038,1,lv
StorageUnit_LVGrid_440493_13,BranchTee_mvgd_1056_lvgd_440493_22,PQ,0.0143,1,lv
StorageUnit_LVGrid_440493_14,BranchTee_mvgd_1056_lvgd_440493_44,PQ,0.010575,1,lv
StorageUnit_LVGrid_440493_15,BranchTee_mvgd_1056_lvgd_440493_48,PQ,0.00936,1,lv
StorageUnit_LVGrid_97717_1,BranchTee_mvgd_1056_lvgd_97717_10,PQ,0.02916,1,lv
StorageUnit_LVGrid_97717_2,BranchTee_mvgd_1056_lvgd_97717_14,PQ,0.003525,1,lv
StorageUnit_LVGrid_97717_3,BranchTee_mvgd_1056_lvgd_97717_18,PQ,0.00882,1,lv
StorageUnit_LVGrid_97717_4,BranchTee_mvgd_1056_lvgd_97717_16,PQ,0.02377,1,lv
StorageUnit_LVGrid_97717_5,BranchTee_mvgd_1056_lvgd_97717_12,PQ,0.0116999999999999,1,lv
StorageUnit_LVGrid_97717_6,BranchTee_mvgd_1056_lvgd_97717_18,PQ,0.01764,1,lv
StorageUnit_LVGrid_97718_1,BranchTee_mvgd_1056_lvgd_97718_48,PQ,0.00836,1,lv
StorageUnit_LVGrid_97718_2,BusBar_mvgd_1056_lvgd_97718_LV,PQ,0.05593,1,lv
StorageUnit_LVGrid_97718_3,BusBar_mvgd_1056_lvgd_97718_LV,PQ,0.04002,1,lv
StorageUnit_LVGrid_97718_4,BusBar_mvgd_1056_lvgd_97718_LV,PQ,0.07056,1,lv
StorageUnit_LVGrid_97718_5,BranchTee_mvgd_1056_lvgd_97718_4,PQ,0.0195,1,lv
StorageUnit_LVGrid_97718_6,BusBar_mvgd_1056_lvgd_97718_LV,PQ,0.064265,1,lv
StorageUnit_LVGrid_97718_7,BusBar_mvgd_1056_lvgd_97718_LV,PQ,0.03042,1,lv
StorageUnit_LVGrid_97718_8,BranchTee_mvgd_1056_lvgd_97718_72,PQ,0.02927,1,lv
StorageUnit_LVGrid_97719_1,BusBar_mvgd_1056_lvgd_97719_LV,PQ,0.012,1,lv
StorageUnit_LVGrid_97719_2,BusBar_mvgd_1056_lvgd_97719_LV,PQ,0.00429,1,lv
StorageUnit_LVGrid_97719_3,BranchTee_mvgd_1056_lvgd_97719_2,PQ,0.0663,1,lv
StorageUnit_LVGrid_97719_4,BusBar_mvgd_1056_lvgd_97719_LV,PQ,0.01122,1,lv
StorageUnit_LVGrid_97719_5,BusBar_mvgd_1056_lvgd_97719_LV,PQ,0.0198,1,lv
StorageUnit_LVGrid_97719_6,BusBar_mvgd_1056_lvgd_97719_LV,PQ,0.00391,1,lv
StorageUnit_LVGrid_97720_1,BranchTee_mvgd_1056_lvgd_97720_68,PQ,0.0161,1,lv
StorageUnit_LVGrid_97720_2,BranchTee_mvgd_1056_lvgd_97720_30,PQ,0.0270249999999999,1,lv
StorageUnit_LVGrid_97720_3,BranchTee_mvgd_1056_lvgd_97720_36,PQ,0.01776,1,lv
StorageUnit_LVGrid_97720_4,BranchTee_mvgd_1056_lvgd_97720_4,PQ,0.045825,1,lv
StorageUnit_LVGrid_97720_5,BranchTee_mvgd_1056_lvgd_97720_74,PQ,0.00385,1,lv
StorageUnit_LVGrid_97720_6,BranchTee_mvgd_1056_lvgd_97720_50,PQ,0.0209,1,lv
StorageUnit_LVGrid_97720_7,BranchTee_mvgd_1056_lvgd_97720_82,PQ,0.01512,1,lv
StorageUnit_LVGrid_97720_8,BranchTee_mvgd_1056_lvgd_97720_20,PQ,0.01443,1,lv
StorageUnit_LVGrid_97720_9,BranchTee_mvgd_1056_lvgd_97720_42,PQ,0.02646,1,lv
StorageUnit_LVGrid_97720_10,BranchTee_mvgd_1056_lvgd_97720_72,PQ,0.01116,1,lv
StorageUnit_LVGrid_97720_11,BranchTee_mvgd_1056_lvgd_97720_24,PQ,0.00931,1,lv
StorageUnit_LVGrid_97720_12,BranchTee_mvgd_1056_lvgd_97720_48,PQ,0.01794,1,lv
StorageUnit_LVGrid_97721_1,BranchTee_mvgd_1056_lvgd_97721_4,PQ,0.0054,1,lv
StorageUnit_LVGrid_97721_2,BranchTee_mvgd_1056_lvgd_97721_20,PQ,0.0099,1,lv
StorageUnit_LVGrid_97721_3,BranchTee_mvgd_1056_lvgd_97721_40,PQ,0.0112,1,lv
StorageUnit_LVGrid_97721_4,BranchTee_mvgd_1056_lvgd_97721_50,PQ,0.00882,1,lv
StorageUnit_LVGrid_97721_5,BranchTee_mvgd_1056_lvgd_97721_60,PQ,0.0138599999999999,1,lv
StorageUnit_LVGrid_97721_6,BranchTee_mvgd_1056_lvgd_97721_70,PQ,0.00828,1,lv
StorageUnit_LVGrid_97721_7,BranchTee_mvgd_1056_lvgd_97721_2,PQ,0.01408,1,lv
StorageUnit_LVGrid_97721_8,BranchTee_mvgd_1056_lvgd_97721_28,PQ,0.0055,1,lv
StorageUnit_LVGrid_97721_9,BranchTee_mvgd_1056_lvgd_97721_48,PQ,0.01989,1,lv
StorageUnit_LVGrid_506706_1,BranchTee_mvgd_1056_lvgd_506706_6,PQ,0.00975,1,lv
StorageUnit_LVGrid_97722_1,BranchTee_mvgd_1056_lvgd_97722_74,PQ,0.00544,1,lv
StorageUnit_LVGrid_97722_2,BranchTee_mvgd_1056_lvgd_97722_150,PQ,0.01034,1,lv
StorageUnit_LVGrid_97722_3,BranchTee_mvgd_1056_lvgd_97722_234,PQ,0.0282,1,lv
StorageUnit_LVGrid_97722_4,BranchTee_mvgd_1056_lvgd_97722_130,PQ,0.00376,1,lv
