,bus0,bus1,length,x,r,b,s_nom,num_parallel,type_info,kind
Branch_LVCableDist_mvgd_1056_lvgd_109035_21_LVCableDist_mvgd_1056_lvgd_109035_23,BranchTee_mvgd_1056_lvgd_109035_21,BranchTee_mvgd_1056_lvgd_109035_23,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_23_LVCableDist_mvgd_1056_lvgd_109035_24,BranchTee_mvgd_1056_lvgd_109035_23,BranchTee_mvgd_1056_lvgd_109035_24,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_23_LVCableDist_mvgd_1056_lvgd_109035_25,BranchTee_mvgd_1056_lvgd_109035_23,BranchTee_mvgd_1056_lvgd_109035_25,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_25_LVCableDist_mvgd_1056_lvgd_109035_26,BranchTee_mvgd_1056_lvgd_109035_25,BranchTee_mvgd_1056_lvgd_109035_26,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_25_LVCableDist_mvgd_1056_lvgd_109035_27,BranchTee_mvgd_1056_lvgd_109035_25,BranchTee_mvgd_1056_lvgd_109035_27,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_27_LVCableDist_mvgd_1056_lvgd_109035_28,BranchTee_mvgd_1056_lvgd_109035_27,BranchTee_mvgd_1056_lvgd_109035_28,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_27_LVCableDist_mvgd_1056_lvgd_109035_29,BranchTee_mvgd_1056_lvgd_109035_27,BranchTee_mvgd_1056_lvgd_109035_29,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_29_LVCableDist_mvgd_1056_lvgd_109035_30,BranchTee_mvgd_1056_lvgd_109035_29,BranchTee_mvgd_1056_lvgd_109035_30,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_29_LVCableDist_mvgd_1056_lvgd_109035_31,BranchTee_mvgd_1056_lvgd_109035_29,BranchTee_mvgd_1056_lvgd_109035_31,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_31_LVCableDist_mvgd_1056_lvgd_109035_32,BranchTee_mvgd_1056_lvgd_109035_31,BranchTee_mvgd_1056_lvgd_109035_32,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_31_LVCableDist_mvgd_1056_lvgd_109035_33,BranchTee_mvgd_1056_lvgd_109035_31,BranchTee_mvgd_1056_lvgd_109035_33,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_33_LVCableDist_mvgd_1056_lvgd_109035_34,BranchTee_mvgd_1056_lvgd_109035_33,BranchTee_mvgd_1056_lvgd_109035_34,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_33_LVCableDist_mvgd_1056_lvgd_109035_35,BranchTee_mvgd_1056_lvgd_109035_33,BranchTee_mvgd_1056_lvgd_109035_35,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_35_LVCableDist_mvgd_1056_lvgd_109035_36,BranchTee_mvgd_1056_lvgd_109035_35,BranchTee_mvgd_1056_lvgd_109035_36,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_35_LVCableDist_mvgd_1056_lvgd_109035_37,BranchTee_mvgd_1056_lvgd_109035_35,BranchTee_mvgd_1056_lvgd_109035_37,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_37_LVCableDist_mvgd_1056_lvgd_109035_38,BranchTee_mvgd_1056_lvgd_109035_37,BranchTee_mvgd_1056_lvgd_109035_38,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
