name,bus_closed,bus_open,branch,type_info
circuit_breaker_1,BusBar_mvgd_1056_lvgd_97255_MV,virtual_BusBar_mvgd_1056_lvgd_97255_MV,Branch_LVStation_mvgd_1056_lvgd_97255_MVCableDist_mvgd_1056_1,Switch Disconnector
circuit_breaker_2,BusBar_mvgd_1056_lvgd_97722_MV,virtual_BusBar_mvgd_1056_lvgd_97722_MV,Branch_LVStation_mvgd_1056_lvgd_97722_MVCableDist_mvgd_1056_49,Switch Disconnector
circuit_breaker_3,BusBar_mvgd_1056_lvgd_102176_MV,virtual_BusBar_mvgd_1056_lvgd_102176_MV,Branch_LVStation_mvgd_1056_lvgd_102176_MVCableDist_mvgd_1056_66,Switch Disconnector
circuit_breaker_4,BusBar_mvgd_1056_lvgd_98547_MV,virtual_BusBar_mvgd_1056_lvgd_98547_MV,Branch_LVStation_mvgd_1056_lvgd_98547_LVStation_mvgd_1056_lvgd_98548,Switch Disconnector
