,bus,p_set,type,annual_consumption,sector,voltage_level,p,geom
Load_mvgd_1056_lvgd_97221_2,BranchTee_mvgd_1056_lvgd_97221_4,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_3,BranchTee_mvgd_1056_lvgd_97221_6,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_4,BranchTee_mvgd_1056_lvgd_97221_8,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_5,BranchTee_mvgd_1056_lvgd_97221_10,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_6,BranchTee_mvgd_1056_lvgd_97221_12,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_7,BranchTee_mvgd_1056_lvgd_97221_14,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_8,BranchTee_mvgd_1056_lvgd_97221_16,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_9,BranchTee_mvgd_1056_lvgd_97221_18,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_10,BranchTee_mvgd_1056_lvgd_97221_20,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_11,BranchTee_mvgd_1056_lvgd_97221_22,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_12,BranchTee_mvgd_1056_lvgd_97221_24,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_13,BranchTee_mvgd_1056_lvgd_97221_26,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_14,BranchTee_mvgd_1056_lvgd_97221_28,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_15,BranchTee_mvgd_1056_lvgd_97221_30,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97221_16,BranchTee_mvgd_1056_lvgd_97221_32,0.0012916688775759,conventional_load,6.043743578401456,residential,lv,,
Load_mvgd_1056_lvgd_97239_1,BranchTee_mvgd_1056_lvgd_97239_2,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_2,BranchTee_mvgd_1056_lvgd_97239_4,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_3,BranchTee_mvgd_1056_lvgd_97239_6,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_4,BranchTee_mvgd_1056_lvgd_97239_8,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_5,BranchTee_mvgd_1056_lvgd_97239_10,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_6,BranchTee_mvgd_1056_lvgd_97239_12,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_7,BranchTee_mvgd_1056_lvgd_97239_14,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_8,BranchTee_mvgd_1056_lvgd_97239_16,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_9,BranchTee_mvgd_1056_lvgd_97239_18,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_10,BranchTee_mvgd_1056_lvgd_97239_20,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_11,BranchTee_mvgd_1056_lvgd_97239_22,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_12,BranchTee_mvgd_1056_lvgd_97239_24,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_13,BranchTee_mvgd_1056_lvgd_97239_26,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_14,BranchTee_mvgd_1056_lvgd_97239_28,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_15,BranchTee_mvgd_1056_lvgd_97239_30,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_16,BranchTee_mvgd_1056_lvgd_97239_32,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_17,BranchTee_mvgd_1056_lvgd_97239_34,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_18,BranchTee_mvgd_1056_lvgd_97239_36,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_19,BranchTee_mvgd_1056_lvgd_97239_38,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_20,BranchTee_mvgd_1056_lvgd_97239_40,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_21,BranchTee_mvgd_1056_lvgd_97239_42,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_22,BranchTee_mvgd_1056_lvgd_97239_44,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_23,BranchTee_mvgd_1056_lvgd_97239_46,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_24,BranchTee_mvgd_1056_lvgd_97239_48,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97239_25,BranchTee_mvgd_1056_lvgd_97239_50,0.0012695259825318,conventional_load,5.940136545628841,residential,lv,,
Load_mvgd_1056_lvgd_97253_1,BranchTee_mvgd_1056_lvgd_97253_2,0.0013707506455908,conventional_load,6.413768695446444,residential,lv,,
Load_mvgd_1056_lvgd_97253_2,BranchTee_mvgd_1056_lvgd_97253_4,0.0013707506455908,conventional_load,6.413768695446444,residential,lv,,
Load_mvgd_1056_lvgd_97253_3,BranchTee_mvgd_1056_lvgd_97253_6,0.0013707506455908,conventional_load,6.413768695446444,residential,lv,,
