name,S_nom,u_kr,P_k,type_info,
#,MVA,%,MW
100 kVA,0.1,,4,0.00175,100 kVA 10/0.4 kV
160 kVA,0.16,4,0.00235,160 kVA 10/0.4 kV
250 kVA,0.25,4,0.00325,250 kVA 10/0.4 kV
400 kVA,0.4,4,0.0046,400 kVA 10/0.4 kV
630 kVA,0.63,4,0.0065,630 kVA 10/0.4 kV
800 kVA,0.8,6,0.0084,800 kVA 10/0.4 kV
1000 kVA,1.0,6,0.00105,1000 kVA 10/0.4 kV
