,edisgo_id
335,Charging_Point_LVGrid_97255_home_1
337,Charging_Point_LVGrid_98951_home_1
339,Charging_Point_LVGrid_97340_home_1
341,Charging_Point_LVGrid_97340_home_2
345,Charging_Point_LVGrid_99002_home_1
347,Charging_Point_LVGrid_97718_home_3
353,Charging_Point_LVGrid_99308_home_2
354,Charging_Point_LVGrid_99159_home_1
356,Charging_Point_LVGrid_97735_home_11
357,Charging_Point_LVGrid_98713_home_3
360,Charging_Point_LVGrid_97735_home_12
361,Charging_Point_LVGrid_97733_home_5
362,Charging_Point_LVGrid_97255_home_2
363,Charging_Point_LVGrid_98951_home_2
366,Charging_Point_LVGrid_97340_home_3
368,Charging_Point_LVGrid_97340_home_4
371,Charging_Point_LVGrid_99002_home_2
376,Charging_Point_LVGrid_97334_home_2
377,Charging_Point_LVGrid_97734_home_5
381,Charging_Point_LVGrid_99159_home_2
382,Charging_Point_LVGrid_97721_home_1
383,Charging_Point_LVGrid_97735_home_13
384,Charging_Point_LVGrid_98713_home_4
386,Charging_Point_LVGrid_98712_home_5
394,Charging_Point_LVGrid_97721_home_2
397,Charging_Point_LVGrid_98712_home_6
398,Charging_Point_LVGrid_97735_home_14
401,Charging_Point_LVGrid_97101_home_1
402,Charging_Point_LVGrid_439483_home_1
403,Charging_Point_LVGrid_97725_home_6
410,Charging_Point_LVGrid_97722_home_11
411,Charging_Point_LVGrid_99309_home_1
412,Charging_Point_LVGrid_99309_home_2
413,Charging_Point_LVGrid_99002_home_3
414,Charging_Point_LVGrid_97255_home_3
415,Charging_Point_LVGrid_99296_home_1
421,Charging_Point_LVGrid_97828_home_1
422,Charging_Point_LVGrid_97718_home_4
428,Charging_Point_LVGrid_97724_home_2
429,Charging_Point_LVGrid_97334_home_3
431,Charging_Point_LVGrid_97829_home_2
434,Charging_Point_LVGrid_97290_home_1
436,Charging_Point_LVGrid_97101_home_2
437,Charging_Point_LVGrid_439483_home_2
441,Charging_Point_LVGrid_97341_home_2
444,Charging_Point_LVGrid_97254_home_1
445,Charging_Point_LVGrid_97722_home_12
450,Charging_Point_LVGrid_99296_home_2
454,Charging_Point_LVGrid_99159_home_3
455,Charging_Point_LVGrid_97255_home_4
456,Charging_Point_LVGrid_97828_home_2
459,Charging_Point_LVGrid_97735_home_15
462,Charging_Point_LVGrid_97254_home_2
465,Charging_Point_LVGrid_99001_home_2
468,Charging_Point_LVGrid_99159_home_4
470,Charging_Point_LVGrid_97726_home_6
471,Charging_Point_LVGrid_99159_home_5
472,Charging_Point_LVGrid_97255_home_5
475,Charging_Point_LVGrid_97722_home_13
477,Charging_Point_LVGrid_99021_home_1
479,Charging_Point_LVGrid_97290_home_2
482,Charging_Point_LVGrid_99002_home_4
484,Charging_Point_LVGrid_97255_home_6
489,Charging_Point_LVGrid_97221_home_1
492,Charging_Point_LVGrid_97828_home_3
493,Charging_Point_LVGrid_97721_home_3
500,Charging_Point_LVGrid_97720_home_1
501,Charging_Point_LVGrid_97718_home_5
503,Charging_Point_LVGrid_98952_home_3
504,Charging_Point_LVGrid_97340_home_5
508,Charging_Point_LVGrid_99021_home_2
509,Charging_Point_LVGrid_97721_home_4
510,Charging_Point_LVGrid_98952_home_4
513,Charging_Point_LVGrid_97290_home_3
514,Charging_Point_LVGrid_97333_home_2
518,Charging_Point_LVGrid_98951_home_3
519,Charging_Point_LVGrid_97725_home_7
520,Charging_Point_LVGrid_98951_home_4
524,Charging_Point_LVGrid_440502_home_1
533,Charging_Point_LVGrid_98952_home_5
538,Charging_Point_LVGrid_97290_home_4
541,Charging_Point_LVGrid_97876_home_1
546,Charging_Point_LVGrid_98712_home_7
548,Charging_Point_LVGrid_99159_home_6
549,Charging_Point_LVGrid_97101_home_3
555,Charging_Point_LVGrid_97221_home_2
556,Charging_Point_LVGrid_99296_home_3
559,Charging_Point_LVGrid_97290_home_5
561,Charging_Point_LVGrid_97733_home_6
562,Charging_Point_LVGrid_97290_home_6
565,Charging_Point_LVGrid_97254_home_3
569,Charging_Point_LVGrid_99309_home_3
574,Charging_Point_LVGrid_97727_home_3
575,Charging_Point_LVGrid_97828_home_4
576,Charging_Point_LVGrid_97721_home_5
578,Charging_Point_LVGrid_97851_home_5
581,Charging_Point_LVGrid_97829_home_3
588,Charging_Point_LVGrid_97731_home_9
590,Charging_Point_LVGrid_97290_home_7
593,Charging_Point_LVGrid_98952_home_6
595,Charging_Point_LVGrid_97718_home_6
596,Charging_Point_LVGrid_97290_home_8
597,Charging_Point_LVGrid_97333_home_3
600,Charging_Point_LVGrid_97828_home_5
606,Charging_Point_LVGrid_98952_home_7
608,Charging_Point_LVGrid_99002_home_5
609,Charging_Point_LVGrid_98712_home_8
612,Charging_Point_LVGrid_97725_home_8
613,Charging_Point_LVGrid_99002_home_6
619,Charging_Point_LVGrid_98713_home_5
620,Charging_Point_LVGrid_97290_home_9
621,Charging_Point_LVGrid_97290_home_10
622,Charging_Point_LVGrid_97733_home_7
624,Charging_Point_LVGrid_97876_home_2
626,Charging_Point_LVGrid_97828_home_6
629,Charging_Point_LVGrid_98712_home_9
633,Charging_Point_LVGrid_99309_home_4
634,Charging_Point_LVGrid_98952_home_8
635,Charging_Point_LVGrid_97730_home_1
636,Charging_Point_LVGrid_97722_home_14
637,Charging_Point_LVGrid_97732_home_9
641,Charging_Point_LVGrid_97721_home_6
642,Charging_Point_LVGrid_97290_home_11
643,Charging_Point_LVGrid_97333_home_4
645,Charging_Point_LVGrid_97290_home_12
647,Charging_Point_LVGrid_98951_home_5
649,Charging_Point_LVGrid_97732_home_10
654,Charging_Point_LVGrid_97718_home_7
655,Charging_Point_LVGrid_97721_home_7
656,Charging_Point_LVGrid_98952_home_9
658,Charging_Point_LVGrid_99002_home_7
664,Charging_Point_LVGrid_97876_home_3
665,Charging_Point_LVGrid_97729_home_7
668,Charging_Point_LVGrid_98952_home_10
670,Charging_Point_LVGrid_99159_home_7
671,Charging_Point_LVGrid_99309_home_5
679,Charging_Point_LVGrid_97851_home_6
681,Charging_Point_LVGrid_97726_home_7
683,Charging_Point_LVGrid_97221_home_3
684,Charging_Point_LVGrid_97725_home_9
686,Charging_Point_LVGrid_97733_home_8
688,Charging_Point_LVGrid_99001_home_3
689,Charging_Point_LVGrid_99002_home_8
690,Charging_Point_LVGrid_99002_home_9
694,Charging_Point_LVGrid_97717_home_1
696,Charging_Point_LVGrid_98713_home_6
697,Charging_Point_LVGrid_97341_home_3
705,Charging_Point_LVGrid_97733_home_9
707,Charging_Point_LVGrid_97334_home_4
711,Charging_Point_LVGrid_97733_home_10
714,Charging_Point_LVGrid_97734_home_6
717,Charging_Point_LVGrid_97731_home_10
723,Charging_Point_LVGrid_97733_home_11
724,Charging_Point_LVGrid_99143_home_5
726,Charging_Point_LVGrid_99002_home_10
727,Charging_Point_LVGrid_99002_home_11
